url,http_code,final_url,final_ip,size,status
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226352/index.m3u8,404,http://39.134.18.113:80/wh7f454c46tw1053081225_1458485307/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226352/index.m3u8?icpid=88888890&RTS=1790328105&from=14&hms_devid=8055&prioritypopid=14&online=1790328105&vqe=3,39.134.18.113,0,intranet
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226582/index.m3u8,404,http://39.134.18.118:80/wh7f454c46tw1053081162_1425660616/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226582/index.m3u8?icpid=88888890&RTS=1790328105&from=14&hms_devid=8052&prioritypopid=14&online=1790328105&vqe=3,39.134.18.118,0,intranet
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226465/index.m3u8,200,http://39.134.18.131:80/wh7f454c46tw1053082339_583308478/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226465/index.m3u8?icpid=88888890&RTS=1790328105&from=14&ocs=2_39.134.19.70_80&hms_devid=7966&online=1790328105&vqe=3,39.134.18.131,402,reachable
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226462/index.m3u8,200,http://39.134.18.131:80/wh7f454c46tw1053081586_1398316072/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226462/index.m3u8?icpid=88888890&RTS=1790328105&from=14&hms_devid=7966&online=1790328105&vqe=3,39.134.18.131,402,reachable
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8,200,http://39.134.18.179:80/wh7f454c46tw1053082289_1337303771/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8?icpid=88888890&RTS=1790328105&from=14&hms_devid=8366&online=1790328105&vqe=3,39.134.18.179,402,reachable
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226337/index.m3u8,200,http://39.134.19.56:80/wh7f454c46tw1053085591_134422953/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226337/index.m3u8?icpid=88888890&RTS=1790328105&from=14&hms_devid=6184&online=1790328105&vqe=3,39.134.19.56,402,reachable
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226338/index.m3u8,200,http://39.134.19.24:80/wh7f454c46tw1053085073_1666816779/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226338/index.m3u8?icpid=88888890&RTS=1790328105&from=14&hms_devid=6224&online=1790328105&vqe=3,39.134.19.24,402,reachable
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226010/index.m3u8,200,http://39.134.19.138:80/wh7f454c46tw1053084130_1334621513/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226010/index.m3u8?icpid=88888890&RTS=1790328105&from=14&hms_devid=6824&online=1790328105&vqe=3,39.134.19.138,402,reachable
http://111.21.22.148/PLTV/88888888/224/3221225804/index.m3u8,200,http://111.21.23.41:80/wh7f454c46tw1053089807_312395354/PLTV/88888888/224/3221225804/index.m3u8?icpid=88888888&RTS=1790328105&from=1&hms_devid=929,111.21.23.41,402,reachable
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226583/index.m3u8,404,http://39.134.18.118:80/wh7f454c46tw1053088621_-505798058/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226583/index.m3u8?icpid=88888890&RTS=1790328105&from=14&hms_devid=8052&prioritypopid=14&online=1790328105&vqe=3,39.134.18.118,0,intranet
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226231/index.m3u8,404,http://39.134.18.113:80/wh7f454c46tw1053091559_-1133816844/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226231/index.m3u8?icpid=88888890&RTS=1790328105&from=14&hms_devid=8055&prioritypopid=14&online=1790328105&vqe=3,39.134.18.113,0,intranet
http://111.21.22.148/PLTV/88888893/224/3221226195/index.m3u8,200,http://111.20.33.99:80/wh7f454c46tw1053089715_1181861713/PLTV/88888893/224/3221226195/index.m3u8?icpid=88888893&RTS=1790328105&from=1&hms_devid=884,111.20.33.99,402,reachable
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226224/index.m3u8,404,http://39.134.18.115:80/wh7f454c46tw1053093772_-314865092/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226224/index.m3u8?icpid=88888890&RTS=1790328105&from=14&hms_devid=8050&prioritypopid=14&online=1790328105&vqe=3,39.134.18.115,0,intranet
http://111.21.22.148/PLTV/88888893/224/3221226397/index.m3u8,200,http://111.21.23.49:80/wh7f454c46tw1053102829_-307973557/PLTV/88888893/224/3221226397/index.m3u8?icpid=88888893&RTS=1790328105&from=1&hms_devid=932,111.21.23.49,402,reachable
http://111.21.22.148/PLTV/88888893/224/3221226191/index.m3u8,200,http://111.20.33.78:80/wh7f454c46tw1053101989_2070761252/PLTV/88888893/224/3221226191/index.m3u8?icpid=88888893&RTS=1790328105&from=1&hms_devid=463,111.20.33.78,402,reachable
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226223/index.m3u8,404,http://39.134.18.120:80/wh7f454c46tw1053138753_-586799177/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226223/index.m3u8?icpid=88888890&RTS=1790328105&from=14&hms_devid=8054&prioritypopid=14&online=1790328105&vqe=3,39.134.18.120,0,intranet
http://111.21.22.148/PLTV/88888893/224/3221226395/index.m3u8,200,http://111.21.23.58:80/wh7f454c46tw1053146793_-964180658/PLTV/88888893/224/3221226395/index.m3u8?icpid=88888893&RTS=1790328105&from=1&ocs=2_111.21.23.31_80&hms_devid=937,111.21.23.58,402,reachable
http://111.21.22.148/PLTV/88888888/224/3221225761/index.m3u8,200,http://111.20.33.71:80/wh7f454c46tw1053137315_2078612772/PLTV/88888888/224/3221225761/index.m3u8?icpid=88888888&RTS=1790328105&from=1&hms_devid=103,111.20.33.71,402,reachable
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226221/index.m3u8,404,http://39.134.18.118:80/wh7f454c46tw1053144139_2098108778/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226221/index.m3u8?icpid=88888890&RTS=1790328105&from=14&hms_devid=8052&prioritypopid=14&online=1790328105&vqe=3,39.134.18.118,0,intranet
http://111.21.22.148/PLTV/88888893/224/3221226393/index.m3u8,200,http://111.21.23.34:80/wh7f454c46tw1053147389_-580969801/PLTV/88888893/224/3221226393/index.m3u8?icpid=88888893&RTS=1790328105&from=1&hms_devid=926,111.21.23.34,402,reachable
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226011/index.m3u8,200,http://39.134.19.18:80/wh7f454c46tw1053149484_-1608458197/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226011/index.m3u8?icpid=88888890&RTS=1790328105&from=14&hms_devid=6204&online=1790328105&vqe=3,39.134.19.18,402,reachable
http://111.21.22.148/PLTV/88888893/224/3221226192/index.m3u8,200,http://111.20.33.97:80/wh7f454c46tw1053148262_-263175299/PLTV/88888893/224/3221226192/index.m3u8?icpid=88888893&RTS=1790328105&from=1&hms_devid=904,111.20.33.97,402,reachable
http://111.21.22.148/PLTV/88888893/224/3221226391/index.m3u8,200,http://111.21.23.58:80/wh7f454c46tw1053148850_546684415/PLTV/88888893/224/3221226391/index.m3u8?icpid=88888893&RTS=1790328105&from=1&hms_devid=937,111.21.23.58,402,reachable
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8,200,http://39.134.18.176:80/wh7f454c46tw1053161693_-1519332635/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8?icpid=88888890&RTS=1790328105&from=14&hms_devid=8365&online=1790328105&vqe=3,39.134.18.176,402,reachable
http://111.21.22.148/PLTV/88888893/224/3221226197/index.m3u8,200,http://111.20.33.99:80/wh7f454c46tw1053149129_-1832966881/PLTV/88888893/224/3221226197/index.m3u8?icpid=88888893&RTS=1790328105&from=1&hms_devid=884,111.20.33.99,402,reachable
http://111.20.33.70/PLTV/88888893/224/3221226189/index.m3u8,200,"http://111.20.33.97:80/PLTV/88888893/224/3221226189/index.m3u8?icpid=88888893&from=1&hms_devid=83,904",111.20.33.97,402,reachable
http://111.21.22.148/PLTV/88888893/224/3221226240/index.m3u8,200,http://111.20.33.78:80/wh7f454c46tw1053149717_392613651/PLTV/88888893/224/3221226240/index.m3u8?icpid=88888893&RTS=1790328105&from=1&hms_devid=463,111.20.33.78,402,reachable
http://111.21.22.148/PLTV/88888893/224/3221226190/index.m3u8,200,http://111.20.33.97:80/wh7f454c46tw1053151664_220994839/PLTV/88888893/224/3221226190/index.m3u8?icpid=88888893&RTS=1790328105&from=1&hms_devid=904,111.20.33.97,402,reachable
http://111.21.22.148/PLTV/88888893/224/3221226233/index.m3u8,200,http://111.21.23.60:80/wh7f454c46tw1053164811_291997102/PLTV/88888893/224/3221226233/index.m3u8?icpid=88888893&RTS=1790328105&from=1&hms_devid=938,111.21.23.60,402,reachable
http://111.21.22.148/PLTV/88888893/224/3221226193/index.m3u8,200,http://111.20.33.78:80/wh7f454c46tw1053164320_-1185616766/PLTV/88888893/224/3221226193/index.m3u8?icpid=88888893&RTS=1790328105&from=1&hms_devid=463,111.20.33.78,402,reachable
http://111.21.22.148/PLTV/88888888/224/3221225785/index.m3u8,200,http://111.20.33.72:80/wh7f454c46tw1053191217_1228168410/PLTV/88888888/224/3221225785/index.m3u8?icpid=88888888&RTS=1790328105&from=1&hms_devid=123,111.20.33.72,402,reachable
http://111.20.33.70/PLTV/88888893/224/3221226921/index.m3u8,200,"http://111.21.23.38:80/PLTV/88888893/224/3221226921/index.m3u8?icpid=88888893&from=1&ocs=2_111.21.23.41_80&hms_devid=83,928",111.21.23.38,402,reachable
http://111.21.22.148/PLTV/88888893/224/3221226198/index.m3u8,200,http://111.20.33.79:80/wh7f454c46tw1053200173_127050351/PLTV/88888893/224/3221226198/index.m3u8?icpid=88888893&RTS=1790328105&from=1&hms_devid=603,111.20.33.79,402,reachable
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226947/index.m3u8,200,http://39.134.18.131:80/wh7f454c46tw1053218126_-219891376/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226947/index.m3u8?icpid=88888890&RTS=1790328105&from=14&ocs=2_39.134.18.68_80&hms_devid=7966&online=1790328105&vqe=3,39.134.18.131,402,reachable
